model,brand_name,price,price_original,price_currency,price_idr,rating,processor,processor_brand,processor_series,processor_score,processor_level,ram,ram_num,ram_class,memory_type,memory_size,storage_class,gpu_brand,gpu_type,gpu_score,gpu_level,os,os_family,display_size,display_class,resolution_height,resolution_width,resolution_class,touch_screen,touchscreen_label,warranty,warranty_class,price_class,label_kebutuhan,predicted_label,prediction_confidence,alasan_label,prob_administrasi_perkantoran,prob_desain_grafis,prob_editing_video,prob_programming
Lenovo V15 G4 ‎83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,39990,39990,INR,7598100,4.5,7th Gen AMD Ryzen 7 7730U,AMD,Ryzen 7,4,High,16 GB DDR4 RAM,16,High,SSD,512,Standard,AMD,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Programming,Programming,0.9999,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0001,0.0,0.0,0.9999
Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),Samsung,36990,36990,INR,7028100,4.4,13th Gen Intel Core i3 1315U,Intel,Core i3,2,Basic,8 GB LPDDR4x RAM,8,Standard,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
HP 15-fc0154AU Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),HP,30290,30290,INR,5755100,4.7,7th Gen AMD Ryzen 3 7320U,AMD,Ryzen 3,2,Basic,8 GB DDR5 RAM,8,Standard,SSD,512,Standard,AMD,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,0.9998,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",0.9998,0.0,0.0,0.0002
MSI Titan 18 HX Gaming Laptop (Intel Core Ultra 9-285HX / 32GB/ 1TB SSD/ Win11 Home/ RTX 5070),MSI,359900,359900,INR,68381000,4.75,Intel Core Ultra 9 285HX,Intel,Core Ultra 9,5,Premium,32 GB DDR5 RAM,32,Premium,SSD,1000,Large,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,18.0,Large,3840,2400,High Resolution,False,No,3,3 Years or More,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Asus Vivobook 16X 2023 K3605ZC-MBN544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB RTX3050),Asus,59140,59140,INR,11236600,4.1,12th Gen Intel Core i5 12500H,Intel,Core i5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,16.0,Large,1920,1200,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
HP Victus 15-fb0112AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),HP,59990,59990,INR,11398100,4.15,5th Gen AMD Ryzen 5 5600H,AMD,Ryzen 5,3,Mid,16 GB DDR4 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,Medium,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
HP B12V5PT Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),HP,33249,33249,INR,6317310,4.7,13th Gen Intel Core i3 1315U,Intel,Core i3,2,Basic,16 GB DDR4 RAM,16,High,SSD,512,Standard,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,15.6,Medium,1366,768,Standard,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
Infinix INBook Y3 Max Series YL613 Laptop (12th Gen Core i3/ 16GB/ 256GB SSD/ Win 11),Infinix,24999,24999,INR,4749810,4.4,12th Gen Intel Core i3 1215U,Intel,Core i3,2,Basic,16 GB LPDDR4X RAM,16,High,SSD,256,Basic,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,16.0,Large,1920,1200,Full HD,False,No,1,1 Year,Low,Administrasi/Perkantoran,Administrasi/Perkantoran,1.0,"Spesifikasi cukup untuk dokumen, browsing, meeting online, dan aktivitas perkantoran ringan.",1.0,0.0,0.0,0.0
Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo,72990,72990,INR,13868100,4.15,12th Gen Intel Core i5 12450HX,Intel,Core i5,3,Mid,16 GB DDR5 RAM,16,High,SSD,512,Standard,NVIDIA,Dedicated,3,Dedicated Entry,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Desain Grafis,Desain Grafis,1.0,"Processor menengah ke atas, RAM minimal 8 GB, storage memadai, dan GPU mendukung pekerjaan visual.",0.0,1.0,0.0,0.0
Lenovo LOQ 15IRX9 83DV00LXIN Gaming Laptop (13th Gen Core i7/ 24GB/ 512GB SSD/ Win11/ 8GB RTX4060),Lenovo,99990,99990,INR,18998100,4.4,13th Gen Intel Core i7 13650HX,Intel,Core i7,4,High,24 GB DDR5 RAM,24,Premium,SSD,512,Standard,NVIDIA,Dedicated,4,Dedicated High,Windows 11,Windows,15.6,Medium,1920,1080,Full HD,False,No,1,1 Year,High,Editing Video,Editing Video,0.9999,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0001,0.9999,0.0
MSI Titan 18 HX AI A2XWIG Gaming Laptop (Intel Core Ultra 9-285HX/ 96GB/ 4TB SSD/ Win11 Pro/ 16GB Graphics RTX 5080),MSI,499999,499999,INR,94999810,4.55,Intel Core Ultra 9 285HX,Intel,Core Ultra 9,5,Premium,96 GB DDR5 RAM,96,Premium,SSD,4000,Very Large,NVIDIA,Dedicated,5,Dedicated Premium,Windows 11,Windows,18.0,Large,3840,2400,High Resolution,False,No,3,3 Years or More,Premium,Editing Video,Editing Video,1.0,"Processor tinggi, RAM minimal 16 GB, storage minimal 512 GB, dan GPU mendukung pekerjaan berat.",0.0,0.0,1.0,0.0
Samsung Galaxy Book 5 Pro 360 Laptop (Intel Core Ultra 7 Series 2/ 16GB/ 1TB SSD/ Win11),Samsung,149990,149990,INR,28498100,4.75,Intel Core Ultra 7 Series 2 256V,Intel,Core Ultra 7,4,High,16 GB LPDDR5X RAM,16,High,SSD,1000,Large,Intel,Integrated,1,Integrated Basic,Windows 11,Windows,16.0,Large,2880,1800,Full HD,True,Yes,1,1 Year,Premium,Programming,Programming,0.9999,"Processor menengah ke atas, RAM minimal 8 GB, dan storage memadai untuk coding dan pengembangan aplikasi.",0.0001,0.0,0.0,0.9999
